시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
어린이집,역삼가애어린이집,서울특별시 강남구 도곡로37길 15,,37.494809,127.044725,서울특별시 강남구청,수서경찰서,Y,2,12,2021-12-24,3220000,서울특별시 강남구
어린이집,아이뜰어린이집,서울특별시 강남구 개포로22길 39-11,,37.477164,127.050117,서울특별시 강남구청,수서경찰서,Y,1,8,2021-12-24,3220000,서울특별시 강남구
어린이집,해맑은어린이집,서울특별시 강남구 개포로36길 14,,37.478521,127.0513054,서울특별시 강남구청,수서경찰서,Y,1,6,2021-12-24,3220000,서울특별시 강남구
어린이집,대청어린이집,서울특별시 강남구 양재대로37길 19,,37.490853,127.083513,서울특별시 강남구청,수서경찰서,Y,1,6,2021-12-24,3220000,서울특별시 강남구
어린이집,충현어린이집,서울특별시 강남구 테헤란로27길 40,,37.50532685,127.0376163,서울특별시 강남구청,수서경찰서,Y,2,12,2021-12-24,3220000,서울특별시 강남구
어린이집,세곡햇빛어린이집,서울특별시 강남구 자곡로 260,,37.476549,127.111611,서울특별시 강남구청,수서경찰서,Y,13,8,2021-12-24,3220000,서울특별시 강남구
어린이집,한울어린이집,서울특별시 강남구 삼성로51길 25,,37.49590698,127.0609998,서울특별시 강남구청,수서경찰서,Y,1,8,2021-12-24,3220000,서울특별시 강남구
어린이집,미담어린이집,서울특별시 강남구 일원로 115,,37.48402087,127.0844599,서울특별시 강남구청,수서경찰서,Y,1,8,2021-12-24,3220000,서울특별시 강남구
어린이집,아이앤어린이집,서울특별시 강남구 봉은사로68길 35-2,,37.51002831,127.0518427,서울특별시 강남구청,강남경찰서,Y,1,8,2021-12-24,3220000,서울특별시 강남구
어린이집,보람어린이집,서울특별시 강남구 남부순환로397길 19,,37.49438501,127.0613399644,서울특별시 강남구청,수서경찰서,Y,10,14,2021-12-24,3220000,서울특별시 강남구
어린이집,다문화어린이집,서울특별시 동작구 동작대로17길 28,서울특별시 동작구 사당1동 1011-1,37.4830324,126.9787548,서울특별시 동작구청,동작경찰서,Y,1,3~6,2021-08-20,3190000,서울특별시 동작구
어린이집,무지개어린이집,서울특별시 동작구 성대로6가길 29,서울특별시 동작구 상도3동 256-175,37.4977312,126.9332022,서울특별시 동작구청,동작경찰서,Y,1,5~8,2021-08-20,3190000,서울특별시 동작구
어린이집,문화어린이집,서울특별시 동작구 사당로13길 24,서울특별시 동작구 사당동 1131-4,37.4851433,126.9724116,서울특별시 동작구청,동작경찰서,Y,1,5~8,2021-08-20,3190000,서울특별시 동작구
어린이집,큰별어린이집,서울특별시 동작구 흑석한강로 28,서울특별시 동작구 흑석동 336-1,37.50463572,126.965112,서울특별시 동작구청,동작경찰서,Y,1,21~23,2021-08-20,3190000,서울특별시 동작구
어린이집,성대어린이집,서울특별시 동작구 성대로10길 27,서울특별시 동작구 상도동 271,37.49682045,126.935311,서울특별시 동작구청,동작경찰서,Y,1,4~7,2021-08-20,3190000,서울특별시 동작구
유치원,위례초병설유치원,서울특별시 강동구 명일로 23,서울특별시 강동구 둔촌1동 176-2,37.5223146,127.1394366,서울특별시 강동구청,강동경찰서,Y,,18,2021-08-25,3240000,서울특별시 강동구
유치원,둘리유치원,서울특별시 강동구 구천면로 668,서울특별시 강동구 상일동 225,37.55081671,127.1721839,서울특별시 강동구청,강동경찰서,Y,1,15,2021-08-25,3240000,서울특별시 강동구
유치원,고덕유치원,서울특별시 강동구 구천면로 645,서울특별시 강동구 상일동 126,37.55111218,127.1692477,서울특별시 강동구청,강동경찰서,Y,1,12,2021-08-25,3240000,서울특별시 강동구
유치원,색동유치원,서울특별시 강동구 구천면로93길 54,서울특별시 강동구 상일동 124-1,37.5529037,127.168472,서울특별시 강동구청,강동경찰서,Y,1,12,2021-08-25,3240000,서울특별시 강동구
유치원,한울유치원,서울특별시 강동구 올림픽로104길 36,서울특별시 강동구 암사동 442-1,37.55547042,127.1316795,서울특별시 강동구청,강동경찰서,Y,1,10,2021-08-25,3240000,서울특별시 강동구
유치원,강동유정유치원,서울특별시 강동구 상일로10길 41,서울특별시 강동구 상일동 495,37.5505854,127.1749825,서울특별시 강동구청,강동경찰서,Y,1,10,2021-08-25,3240000,서울특별시 강동구
유치원,강일늘사랑유치원,서울특별시 강동구 아리수로98길 62,서울특별시 강동구 강일동 685-2,37.56314695,127.1783206,서울특별시 강동구청,강동경찰서,Y,1,22,2021-08-25,3240000,서울특별시 강동구
특수학교,주몽학교,서울특별시 강동구 상암로 369,서울특별시 강동구 상일동 179,37.54619875,127.1633757,서울특별시 강동구청,강동경찰서,Y,1,18,2021-08-25,3240000,서울특별시 강동구
유치원,명문글로벌유치원,부산광역시 남구 진남로232번길 51,,35.1463895,129.077963,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2021-12-17,3310000,부산광역시 남구
특수학교,한국구화학교,서울특별시 강동구 고덕로 295-59,서울특별시 강동구 고덕2동 297,37.5582554,127.158909,서울특별시 강동구청,강동경찰서,Y,2,4,2021-08-25,3240000,서울특별시 강동구
어린이집,고일어린이집,서울특별시 강동구 양재대로156길 121,서울특별시 강동구 고덕동 494-3,37.55696418,127.1513067,서울특별시 강동구청,강동경찰서,Y,1,12,2021-08-25,3240000,서울특별시 강동구
어린이집,상일어린이집,서울특별시 강동구 고덕로80길 5,서울특별시 강동구 상일동 121-2,37.5562973,127.1656874,서울특별시 강동구청,강동경찰서,Y,1,15,2021-08-25,3240000,서울특별시 강동구
