,시설종류,대상시설명,행정구역,경도,위도,다발지역사고건수,다발지역KSI,스쿨존사고건수,스쿨존KSI,ARI
805,유치원,다우림유치원,은평구,126.91230800000001,37.596197,3,1,3,1,1.26
776,초등학교,상신초등,은평구,126.9048,37.5976771,3,1,3,1,1.26
1280,초등학교,강월초교,양천구,126.833433,37.516341,6,2,0,0,1.26
1027,어린이집,청운어린이집,양천구,126.842403,37.513863,6,2,0,0,1.26
26,초등학교,중평초교,노원구,127.0639634,37.63753475,6,1,0,0,1.22
20,초등학교,상천초교,노원구,127.0578068,37.646282,6,1,0,0,1.22
764,초등학교,증산초등,은평구,126.9043095,37.5821614,6,1,0,0,1.22
1599,초등학교,북가좌초등학교,서대문구,126.9077776,37.57722183,6,1,0,0,1.22
59,유치원,연세유치원,노원구,127.0627132,37.63828504,6,1,0,0,1.22
60,유치원,상원유치원,노원구,127.0687546,37.64348576,6,1,0,0,1.22
48,유치원,고운유치원,노원구,127.0669285,37.64403460000001,6,1,0,0,1.22
45,유치원,염광유치원,노원구,127.0492435,37.63025824,4,0,2,1,1.22
23,초등학교,청계초교,노원구,127.0661408,37.64503334,6,1,0,0,1.22
55,유치원,성실유치원,노원구,127.0707082,37.63894724,6,1,0,0,1.22
710,유치원,은하유치원,영등포구,126.89803159999998,37.5249271,6,1,0,0,1.22
1584,초등학교,월계초교,노원구,127.0501888,37.627663,4,0,2,1,1.22
265,유치원,세종유치원,서대문구,126.9131028,37.57727993,6,1,0,0,1.22
2,초등학교,중원초교,노원구,127.0627678,37.64398283,6,1,0,0,1.22
672,어린이집,꼬꼬마어린이집,강북구,127.042037,37.62764456,4,0,2,1,1.22
687,유치원,화계유치원,강북구,127.0188565,37.6346458,3,1,3,0,1.22
803,유치원,동산유치원,은평구,126.907226,37.5839762,6,1,0,0,1.22
1581,초등학교,용동초교,노원구,127.0690832,37.64108534,6,1,0,0,1.22
52,유치원,학여울유치원,노원구,127.0608678,37.63724446,6,1,0,0,1.22
303,어린이집,강동복지관어린이집,강동구,127.1297892,37.54004284,6,0,0,0,1.2
170,유치원,장월병설유치원,성북구,127.0471649,37.62194118,4,0,2,0,1.2
117,초등학교,장월초등학교,성북구,127.0471649,37.62194118,4,0,2,0,1.2
823,유치원,서안유치원,중랑구,127.079934,37.604325,3,0,3,0,1.2
820,어린이집,한내들어린이집,중랑구,127.0749772,37.604148,3,0,3,0,1.2
827,유치원,미림유치원,중랑구,127.0793223,37.61646036,3,0,3,0,1.2
828,초등학교,서울묵동초등학교,중랑구,127.0808259,37.60335895,3,0,3,0,1.2
613,유치원,묵현초등학교병설유치원,중랑구,127.073615,37.6090795,3,0,3,0,1.2
625,초등학교,서울묵현초등학교,중랑구,127.073615,37.6090795,3,0,3,0,1.2
376,어린이집,킹스키즈어린이집,강남구,127.056227,37.49983413,6,0,0,0,1.2
403,초등학교,도성초등학교,강남구,127.0488738,37.50146282,6,0,0,0,1.2
402,초등학교,도곡초등학교,강남구,127.0544636,37.4995106,6,0,0,0,1.2
617,초등학교,서울신묵초등학교,중랑구,127.0758372,37.60652294,3,0,3,0,1.2
95,초등학교,길음초등학교,성북구,127.0166585,37.61363151,3,1,2,1,1.08
702,초등학교,매봉초등학교,구로구,126.844375,37.50491677,3,1,2,1,1.08
681,초등학교,서울영훈초등학교,강북구,127.0280938,37.61468169,3,1,2,1,1.08
683,초등학교,서울송천초등학교,강북구,127.0237355,37.6149061,3,1,2,1,1.08
684,초등학교,서울삼각산초등학교,강북구,127.01456840000002,37.61614897,3,1,2,1,1.08
980,어린이집,창3동,도봉구,127.0428491,37.6396519,3,1,2,1,1.08
178,어린이집,연꽃어린이집,성북구,127.0134264,37.6124264,3,1,2,1,1.08
797,유치원,와우랩유치원,은평구,126.921523,37.593914,3,1,2,1,1.08
956,유치원,신창,도봉구,127.0409612,37.6413368,3,1,2,1,1.08
1079,초등학교,송정초등학교,강서구,126.8102817,37.56223179,0,0,5,2,1.08
788,어린이집,내일어린이집,은평구,126.919501,37.590942,3,1,2,1,1.08
