index,행정구역,시설종류,대상시설명,위도,경도,CARI,CARI300
173,성북구,유치원,천사유치원,37.59447253,127.012706,0.6,0.14
174,성북구,유치원,청덕병설유치원,37.61204229999999,127.0003392,0.0,0.0
175,성북구,유치원,성신유치원,37.59165365,127.02214740000002,0.39,0.0
176,성북구,어린이집,길음성가어린이집,37.60269641,127.0209503,1.45,0.0
177,성북구,어린이집,아랑어린이집,37.5997846,127.0290212,0.25,0.0
178,성북구,어린이집,연꽃어린이집,37.6124264,127.0134264,0.98,0.0
179,성북구,어린이집,영광어린이집,37.6056621,127.0383055,1.19,0.51
180,성북구,어린이집,한빛어린이집,37.5910096,127.0032284,0.4,0.08
181,성북구,어린이집,돈암감리교회어린이집,37.59572686,127.017875,0.6,0.15
182,성북구,어린이집,가람어린이집,37.59834960000001,127.0074133,0.63,0.0
183,성북구,어린이집,은행나무어린이집,37.6091192,127.0218298,1.08,0.83
184,성북구,어린이집,종암중앙어린이집,37.5987021,127.033713,0.56,0.0
185,성북구,어린이집,성북생명숲어린이집,37.61603256,127.0091835,0.0,0.0
186,성북구,어린이집,이화어린이집,37.60917216,127.0046166,0.0,0.0
187,성북구,어린이집,초원어린이집,37.59817287,127.0371676,0.54,0.0
188,성북구,어린이집,느티나무어린이집,37.59796095,127.0081186,0.62,0.0
189,성북구,어린이집,도담어린이집,37.6131154,127.0435012,1.68,0.07
190,성북구,어린이집,소리어린이집,37.61121979,127.0358485,1.16,0.13
191,성북구,어린이집,고려대학교어린이집,37.58870342,127.0316981,0.0,0.0
192,성북구,어린이집,길음빛어린이집,37.6104727,127.01947659999998,1.08,0.54
193,성북구,어린이집,장위어린이집,37.609245,127.0489291,2.18,0.36
194,성북구,어린이집,하은어린이집,37.60889216,127.0598976,1.53,0.75
195,서초구,유치원,하나,37.516336894,127.01135113,0.0,0.0
196,서초구,어린이집,푸르니서초,37.4874393311,127.023817,0.02,0.0
197,서초구,어린이집,반포,37.497029,126.996775,0.0,0.0
198,서초구,어린이집,반포서래,37.497438,127.000304,0.0,0.0
199,서초구,초등학교,서초,37.499048,127.024893,0.57,0.32
200,서초구,유치원,예원,37.500427,127.015475,0.57,0.0
201,서초구,어린이집,서정,37.4807674284,126.9827868583,0.6,0.0
202,서초구,어린이집,서초구청직장,37.486422,127.03141965530001,2.21,0.01
203,서초구,어린이집,서초성모,37.501027,127.009552,0.08,0.0
204,서초구,어린이집,하나푸르니 반포,37.50134600000001,127.010748,0.18,0.0
205,서초구,어린이집,샤이닝키즈,37.495091,127.026805,0.57,0.0
206,서대문구,유치원,신현유치원,37.55865667,126.9471186,0.0,0.0
207,서대문구,어린이집,세브란스어린이집,37.56427396,126.944251,0.0,0.0
208,서대문구,어린이집,환희어린이집,37.57822438,126.9238474,0.99,0.22
209,서대문구,어린이집,독립문어린이집,37.56936134,126.958195,0.0,0.0
210,도봉구,어린이집,신창,37.6400934,127.0413047,0.99,0.0
211,성동구,어린이집,구립왕십리하나어린이집,37.560837,127.0320321,0.0,0.0
212,성동구,어린이집,신금호자이어린이집,37.5562227,127.0181532,0.0,0.0
213,성동구,어린이집,꿈터어린이집,37.5623123,127.055149,0.0,0.0
214,성동구,어린이집,구립홍익어린이집,37.56783247,127.02563229999998,0.0,0.0
215,성동구,어린이집,구립용답어린이집,37.56118504,127.0564009,0.0,0.0
216,성동구,어린이집,구립성모어린이집,37.57037131,127.033489,0.0,0.0
217,성동구,어린이집,구립금일어린이집,37.55364643,127.0249032,0.0,0.0
218,성동구,어린이집,연꽃어린이집,37.5404159,127.012722,0.0,0.0
219,성동구,어린이집,마장어린이집,37.566426,127.0455793,0.0,0.0
220,성동구,어린이집,행응어린이집,37.553126,127.0313028,0.0,0.0
221,성동구,유치원,로사유치원,37.5394137,127.0462961,0.0,0.0
222,성동구,유치원,옥수삼성유치원,37.54262971,127.0155564,0.0,0.0
223,성동구,유치원,옥정병설유치원,37.54230893,127.0157872,0.0,0.0
224,성동구,유치원,옥수병설유치원,37.54552993,127.0218712,0.0,0.0
225,성동구,유치원,사근병설유치원,37.56268098,127.0475736,0.0,0.0
226,성동구,유치원,마장병설유치원,37.56877574,127.0362219,0.0,0.0
227,성동구,유치원,경수병설유치원,37.54043604,127.0580689,0.0,0.0
228,성동구,유치원,한양여대부속유치원,37.55947642,127.0490746,0.0,0.0
229,성동구,유치원,아이들세상유치원,37.54532877,127.017941,0.0,0.0
230,성동구,유치원,금호유치원,37.54879131,127.0231125,0.0,0.0
231,성동구,유치원,세성유치원,37.55386308,127.0340554,0.0,0.0
232,성동구,유치원,송곡유치원,37.56512898,127.034625,0.0,0.0
233,성동구,유치원,경동(벽산)유치원,37.55453185,127.0260929,0.0,0.0
234,성동구,유치원,솔유치원,37.56910834,127.0326723,0.0,0.0
235,성동구,유치원,경동(성수)유치원,37.54382386,127.0500737,0.0,0.0
236,성동구,유치원,무학유치원,37.5614705,127.0306547,0.0,0.0
237,성동구,유치원,성심유치원,37.56624296,127.0334181,0.0,0.0
238,성동구,유치원,세인유치원,37.56525103,127.0465249,0.0,0.0
239,성동구,유치원,율화유치원,37.55648283,127.0352744,0.0,0.0
240,성동구,초등학교,한양초등학교,37.55746532,127.0503041,0.0,0.0
241,성동구,초등학교,숭신초등학교,37.56735897,127.0277291,0.0,0.0
242,성동구,초등학교,동호초등학교,37.54646136,127.0100124,0.0,0.0
243,성동구,초등학교,송원초등학교,37.55415747,127.069528,0.0,0.0
244,성동구,초등학교,행현초등학교,37.5577098,127.0293584,0.0,0.0
245,성동구,초등학교,행당초등학교,37.55701994,127.0348717,0.0,0.0
246,성동구,초등학교,성수초등학교,37.54413995,127.0635118,0.0,0.0
247,성동구,초등학교,응봉초등학교,37.55025195,127.0338274,0.0,0.0
248,성동구,초등학교,금북초등학교,37.557465,127.023576,0.0,0.0
249,성동구,초등학교,금옥초등학교,37.54630189,127.01765290000002,0.0,0.0
250,성동구,초등학교,용답초등학교,37.56077670000001,127.0537611,0.0,0.0
251,성동구,초등학교,경일초등학교,37.54068097,127.0472858,0.0,0.0
252,성동구,초등학교,옥수초등학교,37.54611466,127.0219784,0.0,0.0
253,성동구,초등학교,동명초등학교,37.56872188,127.0355427,0.0,0.0
254,성동구,초등학교,경수초등학교,37.54035393,127.0583065,0.0,0.0
255,성동구,초등학교,사근초등학교,37.56295571,127.0477413,0.0,0.0
